targets,trial_num,start_x,start_z,object_x,object_z,quadrant,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation
32,1,0,0,10,-12.8108891324554,4,2,2,2,encoding,10,50,-1,115.41154014878
23,2,0,0,-60,-12.8108891324554,3,2,2,2,encoding,10,50,-1,127.189098391682
16,3,0,0,-42.5,17.5,1,2,2,2,encoding,10,50,-1,355.887967720628
22,4,0,0,27.5,-43.1217782649107,4,2,2,2,encoding,10,50,-1,309.919463200495
20,5,0,0,-7.5,-43.1217782649107,3,2,2,2,encoding,10,50,-1,57.2284768056124
24,6,0,0,10,47.8108891324554,2,2,2,2,encoding,10,50,-1,296.656957939267
28,7,0,0,45,-12.8108891324554,4,2,2,2,encoding,10,50,-1,231.785539956763
26,8,0,0,27.5,17.5,2,2,2,2,encoding,10,50,-1,136.670804321766
15,9,0,0,-7.5,17.5,1,2,2,2,encoding,10,50,-1,38.789220135659
30,10,0,0,45,47.8108891324554,2,2,2,2,encoding,10,50,-1,348.375264052302
19,11,0,0,62.5,-43.1217782649107,4,2,2,2,encoding,10,50,-1,276.776238642633
18,12,0,0,62.5,17.5,2,2,2,2,encoding,10,50,-1,128.148969551548
33,13,0,0,-60,47.8108891324554,1,2,2,2,encoding,10,50,-1,311.791846258566
31,14,0,0,-25,47.8108891324554,1,2,2,2,encoding,10,50,-1,174.484704695642
21,15,0,0,-25,-12.8108891324554,3,2,2,2,encoding,10,50,-1,169.916334114969
17,16,0,0,-42.5,-43.1217782649107,3,2,2,2,encoding,10,50,-1,198.938771327958
