block_num,targets,speedForward,rotationSpeed,cue,delay,ITI,trialType
1,3,8,30,2,6,2,standard
1,6,8,30,2,2,0.5,standard
1,2,8,30,2,3,1.5,standard
1,6,8,30,2,6,1.5,standard
1,2,8,30,2,5,2,standard
1,3,8,30,2,4.5,1,standard
1,4,8,30,2,3.5,0.5,standard
1,5,8,30,2,4.5,1,standard
1,4,8,30,2,3,1,standard
1,1,8,30,2,5,1.5,standard
1,5,8,30,2,2,2,standard
1,1,8,30,2,3.5,0.5,standard
2,6,8,30,2,3.5,1,standard
2,3,8,30,2,2,1,standard
2,6,8,30,2,6,0.5,standard
2,2,8,30,2,3,2,standard
2,3,8,30,2,4.5,2,standard
2,5,8,30,2,6,1.5,standard
2,5,8,30,2,3,0.5,standard
2,4,8,30,2,5,1.5,standard
2,1,8,30,2,4.5,0.5,standard
2,4,8,30,2,3.5,2,standard
2,1,8,30,2,2,1,standard
2,2,8,30,2,5,1.5,standard
3,3,8,30,2,2,2,standard
3,6,8,30,2,3,1.5,standard
3,3,8,30,2,3.5,0.5,standard
3,6,8,30,2,5,1,standard
3,5,8,30,2,5,2,standard
3,1,8,30,2,3,1.5,standard
3,2,8,30,2,6,0.5,standard
3,5,8,30,2,2,2,standard
3,2,8,30,2,4.5,1.5,standard
3,1,8,30,2,4.5,1,standard
3,4,8,30,2,3.5,1,standard
3,4,8,30,2,6,0.5,standard
4,1,8,30,2,4.5,1,standard
4,6,8,30,2,4.5,1.5,standard
4,2,8,30,2,3.5,1.5,standard
4,2,8,30,2,3,0.5,standard
4,3,8,30,2,5,1.5,standard
4,3,8,30,2,2,1,standard
4,6,8,30,2,2,0.5,standard
4,5,8,30,2,6,2,standard
4,4,8,30,2,3,1,standard
4,5,8,30,2,5,0.5,standard
4,1,8,30,2,3.5,2,standard
4,4,8,30,2,6,2,standard
5,4,8,30,2,5,1,standard
5,6,8,30,2,2,1.5,standard
5,1,8,30,2,5,1,standard
5,2,8,30,2,3,0.5,standard
5,3,8,30,2,3,1.5,standard
5,6,8,30,2,6,2,standard
5,5,8,30,2,4.5,2,standard
5,5,8,30,2,3.5,0.5,standard
5,1,8,30,2,6,2,standard
5,3,8,30,2,4.5,1,standard
5,2,8,30,2,2,1.5,standard
5,4,8,30,2,3.5,0.5,standard
6,6,8,30,2,5,1.5,standard
6,3,8,30,2,3.5,0.5,standard
6,2,8,30,2,6,1,standard
6,5,8,30,2,6,1,standard
6,5,8,30,2,3,0.5,standard
6,1,8,30,2,4.5,2,standard
6,2,8,30,2,2,0.5,standard
6,4,8,30,2,5,1.5,standard
6,3,8,30,2,3,2,standard
6,6,8,30,2,2,1,standard
6,4,8,30,2,4.5,2,standard
6,1,8,30,2,3.5,1.5,standard
7,4,8,30,2,3.5,1,standard
7,2,8,30,2,4.5,1.5,standard
7,4,8,30,2,2,2,standard
7,5,8,30,2,5,1,standard
7,1,8,30,2,4.5,1.5,standard
7,2,8,30,2,3,2,standard
7,5,8,30,2,3,1,standard
7,6,8,30,2,3.5,0.5,standard
7,6,8,30,2,2,0.5,standard
7,1,8,30,2,5,1.5,standard
7,3,8,30,2,6,2,standard
7,3,8,30,2,6,0.5,standard
8,7,8,30,1,2,1.5,control
